country,indicator,year,value,country_name,indicator_code,indicator_name,description,dimension,role,direction,unit,source,collection_date,aggregation,lookback_years,normalization,required,validation,normalized_score,dimension_weight
SGP,IT.NET.BBND.P2,2024,27.813655026664,Singapore,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.15
THA,IT.NET.BBND.P2,2024,14.8870491187484,Thailand,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},43.53144333160676,0.15
VNM,IT.NET.BBND.P2,2024,23.711259212336,Vietnam,IT.NET.BBND.P2,Fixed Broadband Subscriptions,Fixed broadband subscriptions per 100 people,Infrastructure & Digital Readiness,Digital Infrastructure Indicator,benefit,Subscriptions per 100 people,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},82.07910319477556,0.15
IDN,IT.NET.USER.ZS,2024,72.78075544,Indonesia,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",0.0,0.15
MYS,IT.NET.USER.ZS,2024,98.0206059,Malaysia,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",100.0,0.15
SGP,IT.NET.USER.ZS,2024,94.37757178,Singapore,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",85.56634031658203,0.15
THA,IT.NET.USER.ZS,2024,90.86718789,Thailand,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",71.65823933332446,0.15
VNM,IT.NET.USER.ZS,2024,84.15,Vietnam,IT.NET.USER.ZS,Internet Penetration,Percentage of population using the internet,Infrastructure & Digital Readiness,Digital Connectivity Indicator,benefit,%,World Bank,2026-07-23,latest,1,min_max,True,"{'min': 0, 'max': 100}",45.044817432725814,0.15
IDN,NE.TRD.GNFS.ZS,2025,43.3912070511204,Indonesia,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.1
MYS,NE.TRD.GNFS.ZS,2025,136.39642032295,Malaysia,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},33.58621753137013,0.1
SGP,NE.TRD.GNFS.ZS,2025,320.306025413626,Singapore,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.1
THA,NE.TRD.GNFS.ZS,2025,138.413686011523,Thailand,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},34.314696310693606,0.1
VNM,NE.TRD.GNFS.ZS,2025,190.336808817292,Vietnam,NE.TRD.GNFS.ZS,Trade Openness,Trade volume as percentage of GDP,Market Accessibility,International Connectivity Indicator,benefit,% of GDP,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},53.06527206998617,0.1
IDN,NY.GDP.MKTP.KD.ZG,2025,4.83991556974922,Indonesia,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}",64.08503447455651,0.3
MYS,NY.GDP.MKTP.KD.ZG,2025,5.23217612357857,Malaysia,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}",74.25147206101127,0.3
SGP,NY.GDP.MKTP.KD.ZG,2025,5.194205027530888,Singapore,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}",73.2673537899042,0.3
THA,NY.GDP.MKTP.KD.ZG,2025,2.3672666303945737,Thailand,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}",0.0,0.3
VNM,NY.GDP.MKTP.KD.ZG,2025,6.225654098901522,Vietnam,NY.GDP.MKTP.KD.ZG,GDP Growth Rate,Annual percentage growth rate of GDP,Market Opportunity,Opportunity Driver,benefit,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': -30, 'max': 30}",100.0,0.3
IDN,NY.GDP.PCAP.CD,2025,5059.62596411213,Indonesia,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.3
MYS,NY.GDP.PCAP.CD,2025,13124.5554178269,Malaysia,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},8.602192013788297,0.3
SGP,NY.GDP.PCAP.CD,2025,98813.9788172877,Singapore,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.3
THA,NY.GDP.PCAP.CD,2025,8056.56359761558,Thailand,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},3.1965850569059104,0.3
VNM,NY.GDP.PCAP.CD,2025,5065.99091899299,Vietnam,NY.GDP.PCAP.CD,GDP Per Capita,GDP divided by population,Market Opportunity,Purchasing Power Indicator,benefit,USD,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.006788969991429216,0.3
IDN,SL.UEM.TOTL.ZS,2025,3.4269999999999996,Indonesia,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}",18.623299974339247,0.25
MYS,SL.UEM.TOTL.ZS,2025,4.0076,Malaysia,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}",0.0,0.25
SGP,SL.UEM.TOTL.ZS,2025,3.446,Singapore,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}",18.013856812933028,0.25
THA,SL.UEM.TOTL.ZS,2025,0.89,Thailand,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}",100.0,0.25
VNM,SL.UEM.TOTL.ZS,2025,1.7445999999999997,Vietnam,SL.UEM.TOTL.ZS,Unemployment Rate,Total unemployment as percentage of total labor force,Economic Stability,Labor Market Indicator,cost,%,World Bank,2026-07-23,mean,5,min_max,True,"{'min': 0, 'max': 100}",72.58788811906595,0.25
IDN,SP.POP.TOTL,2025,285721236.0,Indonesia,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},100.0,0.3
MYS,SP.POP.TOTL,2025,35977838.0,Malaysia,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},10.681540890619097,0.3
SGP,SP.POP.TOTL,2025,6111175.0,Singapore,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},0.0,0.3
THA,SP.POP.TOTL,2025,71619863.0,Thailand,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},23.428587571460813,0.3
VNM,SP.POP.TOTL,2025,101598527.0,Vietnam,SP.POP.TOTL,Population Size,Total population,Market Opportunity,Market Scale Indicator,benefit,People,World Bank,2026-07-23,latest,1,min_max,True,{'positive_only': True},34.150184602978214,0.3
